features	type	unite	s1	s2	s4	s5	s6	s7	s9	s10	s11	s13	s14	s16	s17	s18	s19	s21	s22	s23	s24	s25	s26	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s85	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s100	s101	s102	s103	s104	s105	s106	s107	s108
a-KG	area	Area C12	21843.554803167	48644.5385648349	10295.5247360583	7646.73517361255	5178.79000863355	30518.6669163516	52043.6918489176	60921.5069242834	50087.1131438739	48636.456793767	6979.19100449096	31816.5478626116	4352.0312203728	63959.1393025868	446.11539395411	3460.76317339738	8157.08635591207	1189.4926638613	5674.54469277953	1294.03674293267	992.987930962404	2198.80227465386	119.55354784805	3388.23417364995	2471.34145567864	1940.20775999841	2176.97823144479	608.029260957452	85.6093011730274	2263.64064970701	391.06099338223	148.310075304497	1060.51598826338	-214.895480961053	89.7401427690691	1799.15847874263	62.7593095110853	2690.72561075277	67.3761861663657	344.5442421739	357.586397862028	NA	NA	NA	NA	NA	NA	NA	11158.9708609714	19169.0885095419	NA	NA	23090.6323271152	7397.87601720146	18220.6865444619	12830.3389301036	5485.18028133814	34454.6707462955	52269.4161207633	10645.2229880468	1560.70033573827	4885.98098483975	1199.05446278597	8983.84365471685	26157.7820907995	71.2386017333687	501.223690386782	112.989391650645	223.919900487124	428.026432368577	133.318286498011	121.586866341539	232.850097803412	166.225062764221	154.260123330863	156.941051975647	199.572131687516	396.090513160386	167.132524366827	247.359422546175	238.424632587278	1366.78586621956	101.809360268865	39.1638366766703	55.4775048550673	131.194117335787	176.792491920113	92.565706017886	37.5648188634634	24.4869997543033	227.018552036199	124.016298133757	250.900716798353	248.956058624096	228.30470963739	131.047423541282	139.341635604353	150.418489366254
ATP	area	Area C12	94535.6548785998	117119.14793104	170951.002031699	162353.771261847	150744.890118515	82080.6886233385	120888.448955046	95605.7126172123	109166.007643811	120245.515730138	75631.4015981697	74786.962436007	122914.141501579	116224.94744423	144074.861686814	50215.1356578769	72149.0172812323	50448.5559143007	135478.710834476	67999.9971310594	88277.0385996958	102934.664154368	54529.7046140992	58238.8578198226	104102.47496293	57702.8222998827	49559.5733202293	84792.3297835627	74880.103740762	59949.061569854	132893.18712123	52621.5775848447	54979.7748414851	247717.013617832	51124.9842115311	55888.1639600733	115448.658506846	149323.251354784	93945.7622094609	125100.704570265	51595.8152543923	82633.5613813542	167341.797953549	200145.035720828	63335.4913413787	157924.610118869	220938.807011585	293341.855574543	97822.9035438005	80647.6590472075	14617.9284731774	6679.12649984617	58098.2237393216	162952.729077076	51883.7850088105	69605.6330613624	50574.1277803563	98189.761910887	74898.3062161777	75373.9673555993	95546.5904707479	51145.9339693337	94700.8819217989	54029.6270395339	62753.7687803164	78157.5787327466	86789.8289053699	72911.6259841619	106076.554366664	377374.708357945	80285.9312445791	74629.2697262323	113234.160722622	149773.986663539	115098.971467724	95368.5901988138	77809.1380548295	99882.9549327779	104044.791352305	158152.801641781	123106.744322631	320287.407722529	45618.1541818957	71912.9639867319	78646.2373228799	125714.393640275	128220.069887572	83645.1715389461	76899.7283356816	149964.177421919	137255.297888386	108084.474622585	76007.3255387687	67757.0296857898	101411.821106698	118468.46665043	56888.8046438603	69734.5908423639
Cit	area	Area C12	118851.438846131	159158.397460639	195818.864091135	164034.376112238	161199.374852837	131721.603796772	191039.813077925	177176.722950802	181000.633599892	183187.071774289	130279.355748484	151114.238472073	166526.345435659	207299.025721263	67628.2382195321	117806.632838022	148232.14112778	118532.912789164	171998.040329752	99910.1387337725	128145.741748965	142542.018198318	118843.907290651	118090.054414421	42863.9513769397	99602.5900923305	95512.1662930151	145487.806599123	90794.2462051576	85149.4487431402	17054.5647482301	92943.0781119113	114785.233161729	38389.8234885938	108406.036609219	107133.569707733	78072.2421692186	147949.761105453	111673.345690674	248012.422624141	84437.4510979464	178405.324790505	182416.743137892	201736.920681443	108376.669647222	167512.145448714	304009.636130042	249132.52347292	169463.797179663	168955.192437616	8336.97386519945	-812.732027484361	132291.764609582	271190.220972544	101195.622052537	145893.482994488	116319.137955657	217034.475972422	209132.194353461	141215.160888934	134431.973712408	118542.752226481	154054.528061404	132577.358925995	151634.629662151	110761.158313552	134146.516968644	120141.120800147	184437.459915939	250834.616804489	151034.054805231	144603.860604854	192415.777817832	245469.836738157	190407.227938874	167345.050847267	102225.375889516	184462.562488165	187373.183722064	232919.404854575	280129.07568611	331469.505267636	120630.194644026	132333.830555994	140219.882849025	181333.629325399	252786.907820226	152930.036790192	131246.533951967	143985.36948447	53391.919306184	102246.954031899	126760.312068576	127557.660709042	126612.347207031	124504.792108834	127673.946426855	154334.635103534
CTP	area	Area C12	31640.1407044141	42239.9206550232	60504.3553579014	63390.6671357034	54998.7793344322	26018.375935831	40198.9437357933	33932.0572629893	39699.2333223745	33421.2284559084	22152.5753637224	26268.069135394	43746.7540952522	42568.1477799783	42125.5437139042	9328.88898958982	13440.7024868895	12379.4155460851	41330.0706825615	13909.3240570919	28448.4662063731	30679.0908177016	13531.0005137981	16398.1303390884	29062.4878085527	10764.5213164544	11698.6719047836	25207.1078612631	24197.6244771941	15393.3305622733	30298.3252502569	14366.5080055672	16206.8783832012	69411.5122733971	10821.5346579582	15932.7874717309	37921.1460933001	54349.4203663888	30063.5407732955	30950.5042339126	10620.6778205688	23950.8352433648	59187.2299821342	77905.0444220553	19586.0362041016	59583.5833984806	73779.1900792274	114778.082377496	37451.3830178276	23294.0724673755	2107.35900962861	649.475694800534	18541.257106531	78072.7945749256	13516.172975524	25432.3439098099	17810.178424792	37544.5331794094	17537.4902093421	30769.9289400436	41527.9419958568	17790.0984623588	41893.7937690094	19672.741776927	23746.300254946	24421.4514288205	27389.9355754788	25325.9329511123	35112.3303791691	157250.730950975	27801.8485603319	22386.1771863524	39799.2206752277	59894.1952453919	45355.8123312262	32703.808703121	23582.232303868	31364.9143154706	39273.9877693285	56988.9561955984	46191.0700952451	115515.152273467	14353.2186955339	22675.8223424419	26632.1980867439	42896.4348661421	39056.3492721195	27775.7524155249	27708.4325252231	57670.5922735616	52027.8853695324	46553.5609775004	24654.9719598468	24308.6721482154	41721.0884680086	48253.4823075049	16206.0836920185	19504.1417390214
Lactate	area	Area C12	166931.085109322	237908.80556583	262888.603097758	150938.013744614	175325.223730913	194042.810752666	278108.871932754	383380.400798904	203573.442255894	332579.214116135	175759.477766388	207699.623645207	151716.069428071	281966.468178999	116144.916279814	72028.6696446677	115994.607120597	83018.8374223816	155855.870755237	79522.1410721869	97344.2633034725	109168.14509507	53843.5785105403	59166.9394969457	31788.1101120071	88572.8996017019	81523.747732928	88371.1733998642	53607.9147072492	135196.719378172	170011.043641535	64815.9034723861	98328.8705768322	207638.034280702	59738.6520149119	59692.1247179794	66468.1682258185	149613.386337188	98673.4220347982	179474.498667375	45386.0353940786	184180.355448334	302881.494640247	362077.935519326	100863.242351337	178321.628881272	362349.593895136	279999.988965048	305929.69963372	430289.317166258	-33609.1954760813	-97968.9078897891	201433.009420096	218053.711618334	238074.72841187	222160.25645179	179401.554173063	333997.38554315	401203.195611412	164953.574393963	239149.789508774	214491.952272356	201179.684614598	200325.966301818	216055.062619558	106044.862045143	124727.408389661	92043.6124207839	129029.018970885	188560.955240533	101604.868502195	153847.820124222	162389.308008849	158745.901567068	120818.568663378	115476.785736006	116911.025302588	138910.285983295	118555.22760612	213064.284276492	169707.879872278	273040.424552828	81442.1629749202	88707.3174985521	86649.7635901924	114380.275721052	128593.710885826	126889.411721277	91260.2184290884	110093.872838311	48414.3673537791	70212.0729787751	108052.327493043	103266.34290528	82604.4851608079	107646.939795646	82957.5236661006	107261.535239678
Pyruvate	area	Area C12	17200.6819221416	35528.7933836524	40723.3845494241	20666.8818487403	21128.2892281262	24341.5622302936	37120.6876644426	65846.1426705178	29918.1296622197	44828.9285831399	14588.2513325946	21194.2279227417	18148.5927794587	37077.997989342	11680.1590433025	7399.31915876279	14269.8816651541	7797.25663094619	21612.5455099577	8594.8397207109	11598.4517708366	13850.8342782378	6581.87135626164	7655.56865424807	4850.96069045662	10553.7639752499	9679.19336924896	11511.745091675	5737.0086666436	12458.3771600058	9954.20647371696	7098.5840873764	11136.955212157	7200.00626439602	7159.39252383571	8698.30509223176	13235.0101781567	22428.5844310608	16431.220992197	20998.435173438	5599.65798200066	1292.57241087331	39218.4403930486	36785.6658728705	11276.9832488485	14117.8348066631	48951.8725126077	37781.9843366733	27107.7091907867	33126.2564084329	-3365.42931377044	-5698.96762725191	16711.6106294285	33007.3245855846	22424.8177057692	16283.0992346864	10995.9682899544	30990.1348228373	32100.3509802525	16765.3173941742	19784.1983951235	12362.1745242007	22312.1756040557	12290.6877103805	21184.4804221782	8018.32781170453	15529.3995650269	9730.9753819667	13573.2323985606	35660.4033356304	10544.6865729248	14849.6251643448	18096.7079745731	20385.3461972951	13578.8429799895	12323.4863476327	9253.74021423431	17317.1213364472	16112.5605370706	24452.6998167937	23089.9440306435	37855.3666213447	9554.99004748282	11201.9342652556	8722.05778928608	16025.1198418481	15683.9003833534	13361.7132225121	11669.2610856496	14457.1505767449	9600.42843975197	12363.6611262917	13314.3824189843	13250.1742275258	11398.3766402213	15056.0028066757	10462.3046634412	12194.926604324
Sed7P	area	Area C12	3035.91918416261	5812.01864315466	2713.41100187817	1294.52220336879	2629.80476414724	6991.97155542031	6161.54318297178	3926.80081422899	2589.53774524498	10133.9592433007	2988.89804447918	3122.74344904918	1487.33295410515	1554.66370646873	4047.15872630465	3549.61111133998	2773.43438796207	2125.06160031124	1309.49180896116	6609.75511542363	5742.18937423021	2689.1907753168	1154.40942027246	1172.32254336603	2267.73310443808	4279.03754887853	3399.68093887387	2310.78674259232	975.579732711827	878.996285229282	1831.23929888271	5540.70836877775	4288.96913473395	1292.65981438112	1536.5733545724	1539.2368727028	8684.00714978753	11378.1310902393	6636.77718450247	7123.58068037648	1369.56336181931	2559.80229349762	18539.8184992691	10263.9471514929	4520.95791626997	4617.86437348408	6023.42265179092	4165.72323078184	9193.05984862408	6691.4620937147	63.6836313617607	NA	1289.75500805797	3646.44657624876	6970.90156281299	4823.48746048862	3624.1907065586	4256.52204671743	5083.47959982911	1697.94074700009	14659.096364026	5580.24907410076	5622.88283903134	2576.47377927678	2193.09072081292	13381.8503532918	9405.86145794217	6693.96228142452	6250.60599642637	7941.61990549322	4099.43334031199	17774.4127304875	15883.4768374336	8865.85027426592	6200.18152393295	4870.78773265818	14292.240739907	11224.1838666919	8111.74681714019	10076.2798103461	7341.71545774071	34516.7125447311	8737.76419520661	7355.90546517138	4794.59469179314	4100.14205990939	5661.52385293224	18521.5316110883	11629.2939966639	8172.58169415097	2467.79034690799	3556.54832270692	13660.4938030871	10182.9173229397	7294.21993232654	5188.69367802094	3912.53938416516	5542.58109015263
a-KG	area	Area C12++	21843.554803167	48644.5385648349	10295.5247360583	7646.73517361255	5178.79000863355	30518.6669163516	52043.6918489176	60921.5069242834	50087.1131438739	48636.456793767	6979.19100449096	31816.5478626116	4352.0312203728	63959.1393025868	446.11539395411	3460.76317339738	8157.08635591207	1189.4926638613	5674.54469277953	1294.03674293267	992.987930962404	2198.80227465386	119.55354784805	3388.23417364995	2471.34145567864	1940.20775999841	2176.97823144479	608.029260957452	85.6093011730274	2263.64064970701	391.06099338223	148.310075304497	1060.51598826338	-214.895480961053	89.7401427690691	1799.15847874263	62.7593095110853	2690.72561075277	67.3761861663657	344.5442421739	357.586397862028	NA	NA	NA	NA	NA	NA	NA	11158.9708609714	19169.0885095419	NA	NA	23090.6323271152	7397.87601720146	18220.6865444619	12830.3389301036	5485.18028133814	34454.6707462955	52269.4161207633	10645.2229880468	1560.70033573827	4885.98098483975	1199.05446278597	8983.84365471685	26157.7820907995	71.2386017333687	501.223690386782	112.989391650645	223.919900487124	428.026432368577	133.318286498011	121.586866341539	232.850097803412	166.225062764221	154.260123330863	156.941051975647	199.572131687516	396.090513160386	167.132524366827	247.359422546175	238.424632587278	1366.78586621956	101.809360268865	39.1638366766703	55.4775048550673	131.194117335787	176.792491920113	92.565706017886	37.5648188634634	24.4869997543033	227.018552036199	124.016298133757	250.900716798353	248.956058624096	228.30470963739	131.047423541282	139.341635604353	150.418489366254
ATP	area	Area C12++	94535.6548785998	117119.14793104	170951.002031699	162353.771261847	150744.890118515	82080.6886233385	120888.448955046	95605.7126172123	109166.007643811	120245.515730138	75631.4015981697	74786.962436007	122914.141501579	116224.94744423	144074.861686814	50215.1356578769	72149.0172812323	50448.5559143007	135478.710834476	67999.9971310594	88277.0385996958	102934.664154368	54529.7046140992	58238.8578198226	104102.47496293	57702.8222998827	49559.5733202293	84792.3297835627	74880.103740762	59949.061569854	132893.18712123	52621.5775848447	54979.7748414851	247717.013617832	51124.9842115311	55888.1639600733	115448.658506846	149323.251354784	93945.7622094609	125100.704570265	51595.8152543923	82633.5613813542	167341.797953549	200145.035720828	63335.4913413787	157924.610118869	220938.807011585	293341.855574543	97822.9035438005	80647.6590472075	14617.9284731774	6679.12649984617	58098.2237393216	162952.729077076	51883.7850088105	69605.6330613624	50574.1277803563	98189.761910887	74898.3062161777	75373.9673555993	95546.5904707479	51145.9339693337	94700.8819217989	54029.6270395339	62753.7687803164	78157.5787327466	86789.8289053699	72911.6259841619	106076.554366664	377374.708357945	80285.9312445791	74629.2697262323	113234.160722622	149773.986663539	115098.971467724	95368.5901988138	77809.1380548295	99882.9549327779	104044.791352305	158152.801641781	123106.744322631	320287.407722529	45618.1541818957	71912.9639867319	78646.2373228799	125714.393640275	128220.069887572	83645.1715389461	76899.7283356816	149964.177421919	137255.297888386	108084.474622585	76007.3255387687	67757.0296857898	101411.821106698	118468.46665043	56888.8046438603	69734.5908423639
Cit	area	Area C12++	118851.438846131	159158.397460639	195818.864091135	164034.376112238	161199.374852837	131721.603796772	191039.813077925	177176.722950802	181000.633599892	183187.071774289	130279.355748484	151114.238472073	166526.345435659	207299.025721263	67628.2382195321	117806.632838022	148232.14112778	118532.912789164	171998.040329752	99910.1387337725	128145.741748965	142542.018198318	118843.907290651	118090.054414421	42863.9513769397	99602.5900923305	95512.1662930151	145487.806599123	90794.2462051576	85149.4487431402	17054.5647482301	92943.0781119113	114785.233161729	38389.8234885938	108406.036609219	107133.569707733	78072.2421692186	147949.761105453	111673.345690674	248012.422624141	84437.4510979464	178405.324790505	182416.743137892	201736.920681443	108376.669647222	167512.145448714	304009.636130042	249132.52347292	169463.797179663	168955.192437616	8336.97386519945	-812.732027484361	132291.764609582	271190.220972544	101195.622052537	145893.482994488	116319.137955657	217034.475972422	209132.194353461	141215.160888934	134431.973712408	118542.752226481	154054.528061404	132577.358925995	151634.629662151	110761.158313552	134146.516968644	120141.120800147	184437.459915939	250834.616804489	151034.054805231	144603.860604854	192415.777817832	245469.836738157	190407.227938874	167345.050847267	102225.375889516	184462.562488165	187373.183722064	232919.404854575	280129.07568611	331469.505267636	120630.194644026	132333.830555994	140219.882849025	181333.629325399	252786.907820226	152930.036790192	131246.533951967	143985.36948447	53391.919306184	102246.954031899	126760.312068576	127557.660709042	126612.347207031	124504.792108834	127673.946426855	154334.635103534
