sample	metabolite	derivative	isotopologue	isotopic_inchi	area	corrected_area	isotopologue_fraction	residuum	mean_enrichment
091222_1500_06	2_3-PG		0	/a(C3+0)	270791308	284482974.749522	0.0370358972678149	0	0.961300796722663
091222_1500_06	2_3-PG		1	/a(C1+1),(C2+0)	29071477	18051166.4118087	0.00235002163268506	0	0.961300796722663
091222_1500_06	2_3-PG		2	/a(C2+1),(C1+0)	219660920	2226608.26447844	0.00028987476319628	0	0.961300796722663
091222_1500_06	2_3-PG		3	/a(C3+1)	7032874354	7376515950.64607	0.960324206336304	0	0.961300796722663
091222_1501_07	2_3-PG		0	/a(C3+0)	388151260	407043589.386606	0.028753235143081	5.11660201055417E-05	0.970101376018422
091222_1501_07	2_3-PG		1	/a(C1+1),(C2+0)	42274284	24321950.995004	0.0017180832577457	9.0009200364916E-05	0.970101376018422
091222_1501_07	2_3-PG		2	/a(C2+1),(C1+0)	351957179	0	0	-0.00366689847076431	0.970101376018422
091222_1501_07	2_3-PG		3	/a(C3+1)	13086979671	13725079373.072	0.969528681599173	0.000111082568403943	0.970101376018422
091222_1502_08	2_3-PG		0	/a(C3+0)	334429442	351179552.451975	0.0315243002549048	1.09846806810161E-05	0.966955645043801
091222_1502_08	2_3-PG		1	/a(C1+1),(C2+0)	39497096	25400030.7090016	0.00228008205194086	1.93238076260364E-05	0.966955645043801
091222_1502_08	2_3-PG		2	/a(C2+1),(C1+0)	307879948	0	0	-0.000787235536616814	0.966955645043801
091222_1502_08	2_3-PG		3	/a(C3+1)	10262134046	10763383861.3039	0.966195617693154	2.38479858751987E-05	0.966955645043801
091222_1503_09	2_3-PG		0	/a(C3+0)	229468484	240937925.576322	0.0290558955620708	1.14018950707668E-05	0.969447167348084
091222_1503_09	2_3-PG		1	/a(C1+1),(C2+0)	28441461	18619401.1663761	0.00224540563476857	2.00577540725757E-05	0.969447167348084
091222_1503_09	2_3-PG		2	/a(C2+1),(C1+0)	229236207	0	0	-0.000817135862792658	0.969447167348084
091222_1503_09	2_3-PG		3	/a(C3+1)	7658575738	8032664300.41786	0.968698698803161	2.47537672389752E-05	0.969447167348084
091222_1504_11	2_3-PG		0	/a(C3+0)	114236229	119981140.652091	0.0186467349888046	0	0.978814868032934
091222_1504_11	2_3-PG		1	/a(C1+1),(C2+0)	16072998	10083175.8388255	0.00156706551288167	0	0.978814868032934
091222_1504_11	2_3-PG		2	/a(C2+1),(C1+0)	210694362	28833073.4328281	0.00448105990902096	0	0.978814868032934
091222_1504_11	2_3-PG		3	/a(C3+1)	5983421333	6275534199.52753	0.975305139589293	0	0.978814868032934
091222_1505_12	2_3-PG		0	/a(C3+0)	124197375	130232490.542304	0.0197609564083509	3.21207242246806E-05	0.979169553409641
091222_1505_12	2_3-PG		1	/a(C1+1),(C2+0)	16749213	10572542.6797613	0.0016042352730122	5.65054837511211E-05	0.979169553409641
091222_1505_12	2_3-PG		2	/a(C2+1),(C1+0)	173525312	0	0	-0.00230198549291122	0.979169553409641
091222_1505_12	2_3-PG		3	/a(C3+1)	6149423080	6449589067.70658	0.978634808318637	6.97348061237996E-05	0.979169553409641
091222_1506_13	2_3-PG		0	/a(C3+0)	147926380	155388873.801447	0.0267895632403446	2.75744624594265E-06	0.972090093977876
091222_1506_13	2_3-PG		1	/a(C1+1),(C2+0)	16245274	9747572.30477316	0.00168051417266994	4.85078832448255E-06	0.972090093977876
091222_1506_13	2_3-PG		2	/a(C2+1),(C1+0)	164088807	0	0	-0.000197617003001308	0.972090093977876
091222_1506_13	2_3-PG		3	/a(C3+1)	5372617590	5635214698.38105	0.971529922586986	5.98647707978696E-06	0.972090093977876
091222_1507_14	2_3-PG		0	/a(C3+0)	169067999	177539781.473537	0.0275835800367701	9.80537707830379E-06	0.971148162836578
091222_1507_14	2_3-PG		1	/a(C1+1),(C2+0)	19637024	12244572.2863712	0.00190238568997833	1.72492236873999E-05	0.971148162836578
091222_1507_14	2_3-PG		2	/a(C2+1),(C1+0)	178807310	0	0	-0.000702718686257481	0.971148162836578
091222_1507_14	2_3-PG		3	/a(C3+1)	5955675589	6246645625.12132	0.970514034273252	2.12876903605413E-05	0.971148162836578
091222_1508_16	2_3-PG		0	/a(C3+0)	292541718	307067684.770398	0.0349040655076791	4.0398422744501E-05	0.964376766385472
091222_1508_16	2_3-PG		1	/a(C1+1),(C2+0)	22581871	9490296.43046834	0.00107875216027386	7.10672768521058E-05	0.964376766385472
091222_1508_16	2_3-PG		2	/a(C2+1),(C1+0)	224582469	0	0	-0.0028952205777393	0.964376766385472
091222_1508_16	2_3-PG		3	/a(C3+1)	8086382237	8480918195.40214	0.964017182332047	8.77058757577701E-05	0.964376766385472
091222_1509_17	2_3-PG		0	/a(C3+0)	229912268	241032644.004459	0.0340403224640086	7.9325160708464E-05	0.965201207310197
091222_1509_17	2_3-PG		1	/a(C1+1),(C2+0)	18839146	8055861.57923612	0.00113770533869073	0.000139545626269553	0.965201207310197
091222_1509_17	2_3-PG		2	/a(C2+1),(C1+0)	161580965	0	0	-0.00568497048299026	0.965201207310197
091222_1509_17	2_3-PG		3	/a(C3+1)	6514481100	6831709399.87995	0.964821972197301	0.000172216688400656	0.965201207310197
091222_1510_18	2_3-PG		0	/a(C3+0)	305722122	320652756.942383	0.0397180267803015	7.73767546477206E-05	0.959533089020824
091222_1510_18	2_3-PG		1	/a(C1+1),(C2+0)	22890041	9068871.33371196	0.00112332629831155	0.000136118068803837	0.959533089020824
